DOI,PMID,arXiv ID,Title,Abstract,Authors,Journal,Year
10.1007/978-3-642-21869-9_46,,,Human-machine student model discovery and improvement using DataShop,"We show how data visualization and modeling tools can be used with human input to improve student models. We present strategies for discovering potential flaws in existing student models and use them to identify improvements in a Geometry model. A key discovery was that the student model should distinguish problem steps requiring problem decomposition planning and execution from problem steps requiring just execution of problem decomposition plans. This change to the student model better fits student data not only in the original data set, but also in two other data sets from different sets of students. We also show how such student model changes can be used to modify a tutoring system, not only in terms of the usual student model effects on the tutor's problem selection, but also in driving the creation of new problems and hint messages.",Longbing Cao,,2011
10.1145/820127.820183,,,An experience in integrating automated unit testing practices in an introductory programming course,"Unit testing is one of the core practices in the Extreme Programming lightweight software development method, and it is usually carried out with the help of software frameworks that ease the construction of test cases as an integral part of programming tasks. This work describes our first results in studying the integration of automated unit testing practices in conventional 'introduction to programming' laboratories. Since the work used a classical procedural language in the course's assignments, we had to design a specific testing framework called tpUnit. The results of the experiment points out that a straightforward approach for the integration of unit testing in first-semester courses do not result in the expected outcomes in terms of student's engagement in the practice.","López-Pernas S,Sonsoles López-Pernas,Mohammed Saqr,Saqr M,Viberg O,Olga Viberg",,2002
,,,A metrics suite for object oriented design,"Given the central role that software development plays in the delivery and application of information technology, managers are increasingly focusing on process improvement in the software development area. This demand has spurred the provision of a number of new and/or improved approaches to software development, with perhaps the most prominent being object-orientation (OO). In addition, the focus on process improvement has increased the demand for software measures, or metrics with which to manage the process. The need for such metrics is particularly acute when an organization is adopting a new technology for which established practices have yet to be developed. This research addresses these needs through the development and implementation of a new suite of metrics for OO design. Metrics developed in previous research, while contributing to the field's understanding of software development processes, have generally been subject to serious criticisms, including the lack of a theoretical base. Following Wand and Weber (1989), the theoretical base chosen for the metrics was the ontology of Bunge (1977). Six design metrics are developed, and then analytically evaluated against Weyuker's (1988) proposed set of measurement principles. An automated data collection tool was then developed and implemented to collect an empirical sample of these metrics at two field sites in order to demonstrate their feasibility and suggest ways in which managers may use these metrics for process improvement. >","LoråsMadeleine,LoråsMadeleine,Madeleine Lorås,Guttorm Sindre,SindreGuttorm,SindreGuttorm,TrættebergHallvard,Hallvard Trætteberg,TrættebergHallvard,Trond Aalberg,AalbergTrond,AalbergTrond",,2015
10.1155/2013/805963,,,Feedback for Programming Assignments Using Software-Metrics and Reference Code,"Feedback for student programming assignments on quality is a tedious and laborious task for the instructor. In this paper, we make use of few object-oriented software metrics along with a reference code that is provided by the instructor to analyze student programs and provide feedback. The empirical study finds those software metrics that can be used on the considered programming assignments and the way reference code helps the instructor to assess them. This approach helps the instructor to easily find out quality issues in student programs. Feedback to such assignments can be provided using the guidelines which we will be discussing. We also perform an experimental study on programming assignments of sophomore students who were enrolled in an object-oriented programming course to validate our approach.","Lorin W. Anderson,David R. Krathwohl,Benjamin S. Bloom",International Scholarly Research Notices,2013
10.25080/majora-92bf1922-011,,,Statsmodels: Econometric and Statistical Modeling with Python,"Statsmodels is a library for statistical and econometric analysis in Python. This paper discusses the current relationship between statistics and Python and open source more generally, outlining how the statsmodels package fills a gap in this relationship. An overview of statsmodels is provided, including a discussion of the overarching design and philosophy, what can be found in the package, and some usage examples. The paper concludes with a look at what the future holds.","Louise P. Flannery,Brian Silverman,Elizabeth R. Kazakoff,Marina Umaschi Bers,Paula Bonta,Mitchel Resnick",,2010
10.1007/s40593-015-0070-z,,,Data-Driven Hint Generation in Vast Solution Spaces: a Self-Improving Python Programming Tutor,"To provide personalized help to students who are working on code-writing problems, we introduce a data-driven tutoring system, ITAP (Intelligent Teaching Assistant for Programming). ITAP uses state abstraction, path construction, and state reification to automatically generate personalized hints for students, even when given states that have not occurred in the data before. We provide a detailed description of the system’s implementation and perform a technical evaluation on a small set of data to determine the effectiveness of the component algorithms and ITAP’s potential for self-improvement. The results show that ITAP is capable of producing hints for almost any given state after being given only a single reference solution, and that it can improve its performance by collecting data over time.","Louise P. Flannery,Marina Umaschi Bers",,2017
10.3233/efi-160977,,,"Data Science Programs in U.S. Higher Education: An Exploratory Content Analysis of Program Description, Curriculum Structure, and Course Focus.",,"Luciana Benotti,Federico Aloi,Franco Bulgarelli,Marcos J. Gomez",Education for Information,2016
10.1145/2839509.2844568,,,Datathons: An Experience Report of Data Hackathons for Data Science Education,Large amounts of data are becoming increasingly available through open data repositories as well as companies and governments collecting data to improve decision making and efficiencies. Consequently there is a need to increase the data literacy of computer science students. Data science is a relatively new area within computer science and the curriculum is rapidly evolving along with the tools required to perform analytics which students need to learn how to effectively use. To address the needs of students learning key data science and analytics skills we propose augmenting existing data science curriculums with hackathon events that focus on data also known as datathons. In this paper we present our experience at hosting and running four datathons that involved students and members from the community coming together to solve challenging problems with data from not-for-profit social good organizations and publicly open data. Our reported experience from our datathons will help inform other academics and community groups who also wish to host datathons to help facilitate their students and members to learn key data science and analytics skills.,Luís Macedo,,2016
10.25080/majora-92bf1922-00a,,,Data Structures for Statistical Computing in Python,"In this paper we are concerned with the practical issues of working with data sets common to finance, statistics, and other related fields. pandas is a new library which aims to facilitate working with these data sets and to provide a set of fundamental building blocks for implementing statistical models. We will discuss specific design issues encountered in the course of developing pandas with relevant examples and some comparisons with the R language. We conclude by discussing possible future directions for statistical computing and data analysis using Python.","Łukasz Gajewski,Jan Chołoniewski,Janusz A. Hołyst",,2010
,,,Teaching Data Science,"We describe an introductory data science course, entitled Introduction to Data Science, offered at the University of Illinois at Urbana-Champaign. The course introduced general programming concepts by using the Python programming language with an emphasis on data preparation, processing, and presentation. The course had no prerequisites, and students were not expected to have any programming experience. This introductory course was designed to cover a wide range of topics, from the nature of data, to storage, to visualization, to probability and statistical analysis, to cloud and high performance computing, without becoming overly focused on any one subject. We conclude this article with a discussion of lessons learned and our plans to develop new data science courses.","Luma da Rocha Seixas,Alex Sandro Gomes,Ivanildo Jose de Melo Filho",arXiv: Other Statistics,2016
10.3233/978-1-61499-649-1-87,,,Jupyter Notebooks – a publishing format for reproducible computational workflows,"It is increasingly necessary for researchers in all fields to write computer code, and in order to reproduce research results, it is important that this code is published. We present Jupyter notebooks, a document format for publishing code, results and explanations in a form that is both readable and executable. We discuss various tools and use cases for notebook documents.","LyeSze Yee,KohJoyce Hwee Ling",,2016
10.1146/annurev-statistics-060116-053930,,,Curriculum Guidelines for Undergraduate Programs in Data Science,"The Park City Math Institute 2016 Summer Undergraduate Faculty Program met for the purpose of composing guidelines for undergraduate programs in data science. The group consisted of 25 undergraduate faculty from a variety of institutions in the United States, primarily from the disciplines of mathematics, statistics, and computer science. These guidelines are meant to provide some structure for institutions planning for or revising a major in data science.",M. Margaliot,,2017
10.1145/3013499.3013500,,,The Compound Nature of Novice Programming Assessments,"Failure rates in introductory programming courses are notoriously high, and researchers have noted that students struggle with the assessments that we typically use to evaluate programming ability. Current assessment practices in introductory courses consist predominantly of questions that involve a multitude of different concepts and facts. Students with fragile knowledge in any of the areas required may be unable to produce a working solution, even when they may know most of the required material. These assessments also make it difficult for a teacher to distinguish between the specific information that a student does and does not know.   In this paper, we analyse examination questions used to assess novice programming at the syntax level and describe the extent to which each syntax component is used across the various examination questions. We also explore the degree to which questions involve multiple syntax elements as an indicator of how independently concepts are examined.","Ma. Mercedes T. Rodrigo,Ryan S. Baker",,2017
10.1145/3059009.3059026,,,Automatic Grading and Feedback using Program Repair for Introductory Programming Courses,"We present GradeIT, a system that combines the dual objectives of automated grading and program repairing for introductory programming courses (CS1). Syntax errors pose a significant challenge for testcase-based grading as it is difficult to differentiate between a submission that is almost correct and has some minor syntax errors and another submission that is completely off-the-mark. GradeIT also uses program repair to help in grading submissions that do not compile. This enables running testcases on submissions containing minor syntax errors, thereby awarding partial marks for these submissions (which, without repair, do not compile successfully and, hence, do not pass any testcase). Our experiments on 15613 submissions show that GradeIT results are comparable to manual grading by teaching assistants (TAs), and do not suffer from unintentional variability that happens when multiple TAs grade the same assignment. The repairs performed by GradeIT enabled successful compilation of 56% of the submissions having compilation errors, and resulted in an improvement in marks for 11% of these submissions.","Mack Sweeney,Jaime Lester,Huzefa Rangwala,Aditya Johri",,2017
10.1145/3159450.3159483,,,Key Concepts for a Data Science Ethics Curriculum,"Data science is a new field that integrates aspects of computer science, statistics and information management. As a new field, ethical issues a data scientist may encounter have received little attention to date, and ethics training within a data science curriculum has received even less attention. To address this gap, this article explores the different codes of conduct and ethics frameworks related to data science. We compare this analysis with the results of a systematic literature review focusing on ethics in data science. Our analysis identified twelve key ethics areas that should be included within a data science ethics curriculum. Our research notes that none of the existing codes or frameworks covers all of the identified themes. Data science educators and program coordinators can use our results as a way to identify key ethical concepts that can be introduced within a data science program.","Marcelo Worsley,Paulo Blikstein",,2018
10.1007/s11213-018-9446-y,,,Improvements in Introductory Programming Course: Action Research Insights and Outcomes,"Programming is a rewarding and yet demanding field in the ICT labormarket, but it is considered a challenging and difficult area of learning for significant numbers of novice programmers. As a result, high attrition rates from introductory programming (IP) courses are reported despite extensive research which attempts to address the issue. In this research, an action research methodology was used with three cycles to investigate and improve the teaching and learning process of the IP course. There were nine activities performed during the span of these three cycles. All three entities of the didactic triangle (student, instructor, and content) together with learning context were incorporated into the research design to understand the problem better and execute the proposed solution. The result shows that three cycles of the action research methodology helps in understanding and improving the students learning outcomes in the IP course. Moreover, the attrition rate was also reduced in the IP course.","Marco Baroni,Georgiana Dinu,Germán Kruszewski",Systemic Practice and Action Research,2018
10.1007/978-3-319-95092-1_3,,,Data Science Thinking,"What makes data science essential and different from existing developments in data mining, machine learning, statistics, and information science?","María Cecilia Martínez,Marcos J. Gomez,Marco Moresi,Marco Moresi,Luciana Benotti",,2018
10.1145/3287324.3287463,,,Automated Critique of Early Programming Antipatterns,"The introductory programming lab, with small cycles of teaching, coding, testing, and critique from instructors, is an extraordinarily productive learning experience for novice programmers. We wish to extend the availability of such critique through automation, capturing the essence of interaction between student and instructor as closely as possible. Integrated Development Environments and Automated Grading Systems provide constant feedback through static analysis and unit testing. But we also wish to tailor automated feedback to acknowledge commonly recurring issues with novice programmers, in keeping with the practice of a human instructor. We argue that the kinds of mistakes that novice programmers make, and the way they are reported to the novices, deserve special care. In this paper we provide examples of early programming antipatterns that have arisen from our teaching experience, and describe different ways of identifying and dealing with them automatically through our tool WebTA. Novice students may produce code that is close to a correct solution but contains syntactic errors; WebTA attempts to salvage the promising portions of the student's submission and suggest repairs that are more meaningful than typical compiler error messages. Alternatively, a student misunderstanding may result in well-formed code that passes unit tests yet contains clear design flaws; through additional analysis, WebTA can identify and flag them. Finally, certain types of antipattern can be anticipated and flagged by the instructor, based on the context of the course and the programming exercise; WebTA allows for customizable critique triggers and messages.","Maria Perifanou,Panagiotis Kosmas,Andri Ioannou,Symeon Retalis",,2019
10.24251/hicss.2019.924,,,Code Complexity in Introductory Programming Courses,,"Marian Joëls,Zhenwei Pu,Olof Wiegert,Melly S. Oitzl,Harm J. Krugers",,2019
10.1145/3290605.3300493,,,"Practitioners Teaching Data Science in Industry and Academia: Expectations, Workflows, and Challenges","Data science has been growing in prominence across both academia and industry, but there is still little formal consensus about how to teach it. Many people who currently teach data science are practitioners such as computational researchers in academia or data scientists in industry. To understand how these practitioner-instructors pass their knowledge onto novices and how that contrasts with teaching more traditional forms of programming, we interviewed 20 data scientists who teach in settings ranging from small-group workshops to large online courses. We found that: 1) they must empathize with a diverse array of student backgrounds and expectations, 2) they teach technical workflows that integrate authentic practices surrounding code, data, and communication, 3) they face challenges involving authenticity versus abstraction in software setup, finding and curating pedagogically-relevant datasets, and acclimating students to live with uncertainty in data analysis. These findings can point the way toward better tools for data science education and help bring data literacy to more people around the world.",Marina Umaschi Bers,,2019
10.1080/08993408.2019.1612679,,,CS1: How Will They Do? How Can We Help? A Decade of Research and Practice.,"ABSTRACTBackground and Context: Computer Science attrition rates (in the western world) are very concerning, with a large number of students failing to progress each year. It is well acknowledged that a significant factor of this attrition, is the students’ difficulty to master the introductory programming module, often referred to as CS1.Objective: The objective of this article is to describe the evolution of a prediction model named PreSS (Predict Student Success) over a 13-year period (2005–2018).Method: This article ties together, the PreSS prediction model; pilot studies; a longitudinal, multi-institutional re-validation and replication study; improvements to the model since its inception; and interventions to reduce attrition rates.Findings: The outcome of this body of work is an end-to-end real-time web-based tool (PreSS#), which can predict student success early in an introductory programming module (CS1), with an accuracy of 71%. This tool is enhanced with interventions that were developed in con...","Marius Kloft,Felix Stiehler,Zhilin Zheng,Niels Pinkwart",Computer Science Education,2019
10.1145/3304221.3319757,,,Understanding How Work Habits influence Student Performance,"Understanding the relationship between a student's broader work habits and their performance, particularly on open-ended programming assignments, is key towards being able to guide students towards success. In spite of this, most evidence of student behavior and its relationship to performance is anecdotal. The advent of large-scale courses which use online tools for delivering course content, monitoring the programming environment, and providing automatic feedback as well as grading now makes it possible to dive into the data and develop data-driven methods for understanding how a student's approach to an assignment---from their first exposure to the description of the problem to their final submission of their completed assignment---influences their final performance.   This study is a first look at a subset of the data collected from a project-based, online, upper-level course on cloud computing. We examine three raw data streams which include information on the time students spend on reading the project write-up, the timing, grades, and number of submissions they make, and the cloud resources used (both time and cost) in solving the assignment. Using these and several synthetic metrics we were surprised to find that there are few behaviors that are highly correlated to student success. Instead, we find that there is a strong correlation between students who continually apply consistent behaviors over the course of the semester to good final performance in the course. From this we use LASSO to create a predictor (adjusted R2=.48) of final performance based on two kinds of consistency measures across 15 metrics.","Mark Sherman,Fred Martin",,2019
,,,Using Knowledge Component Modeling to Increase Domain Understanding in a Digital Learning Game.,,"Mark Weiser,Mark Weiser,Mark Weiser",,2019
10.1145/3330430.3333641,,,Measuring Difficulty of Introductory Programming Tasks,"Quantification of the difficulty of problem solving tasks has many applications in the development of adaptive learning systems, e.g., task sequencing, student modeling, and insight for content authors. There are, however, many potential conceptualizations and measures of problem difficulty and the computation of difficulty measures is influenced by biases in data collection. In this work, we explore difficulty measures for introductory programming tasks. The results provide insight into non-trivial behavior of even simple difficulty measures.","Mark Weiser,Mark Weiser,Mark Weiser",,2019
10.1145/3291279.3339420,,,An Evaluation of the Impact of Automated Programming Hints on Performance and Learning,"A growing body of work has explored how to automatically generate hints for novice programmers, and many programming environments now employ these hints. However, few studies have investigated the efficacy of automated programming hints for improving performance and learning, how and when novices find these hints beneficial, and the tradeoffs that exist between different types of hints. In this work, we explored the efficacy of next-step code hints with 2 complementary features: textual explanations and self-explanation prompts. We conducted two studies in which novices completed two programming tasks in a block-based programming environment with automated hints. In Study 1, 10 undergraduate students completed 2 programming tasks with a variety of hint types, and we interviewed them to understand their perceptions of the affordances of each hint type. For Study 2, we recruited a convenience sample of participants without programming experience from Amazon Mechanical Turk. We conducted a randomized experiment comparing the effects of hints' types on learners' performance and performance on a subsequent task without hints. We found that code hints with textual explanations significantly improved immediate programming performance. However, these hints only improved performance in a subsequent post-test task with similar objectives, when they were combined with self-explanation prompts. These results provide design insights into how automatically generated code hints can be improved with textual explanations and prompts to self-explain, and provide evidence about when and how these hints can improve programming performance and learning.","Martin Drlík,Jan Skalka,Peter Svec,Jozef Kapusta",,2019
10.1038/s41592-019-0686-2,32015543,,SciPy 1.0: fundamental algorithms for scientific computing in Python.,"SciPy is an open-source scientific computing library for the Python programming language. Since its initial release in 2001, SciPy has become a de facto standard for leveraging scientific algorithms in Python, with over 600 unique code contributors, thousands of dependent packages, over 100,000 dependent repositories and millions of downloads per year. In this work, we provide an overview of the capabilities and development practices of SciPy 1.0 and highlight some recent technical developments. This Perspective describes the development and capabilities of SciPy 1.0, an open source scientific computing library for the Python programming language.","Massimo Vitiello,Simon Walk,Denis Helic,Vanessa Chang,Christian Gütl",Nature Methods,2020
10.1145/3328778.3366967,,,Using Data to Inform Computing Education Research and Practice,"The analysis of data plays an increasingly critical role in computing education research, enabled by more and larger datasets, more powerful analysis techniques and better infrastructure for sharing. This panel brings together four panellists at various stages of work involving the collection and analysis of large datasets in different fields of computing education. The panellists will each discuss the current state of their work, the unique aspects of their data, and how that data fits into the larger landscape of computing education and research. Panellists will be asked to explain how they are employing AI and data mining techniques to learn about learners, the research methods they have used to make this happen, and any significant key findings they have discovered through this processes. The panel will discuss emerging topics, including: going beyond log data, handling global-scale datasets, efficiently collaborating with cross-dataset analysis, and ethical and privacy considerations. After the panelists present (5 minutes each), the moderator will pose follow-up questions and invite the audience to pose additional questions or provide other feedback. Key takeaways will include how data mining and artificial intelligence can contribute to improved insight and learning gains and how the larger computer education community can participate in data collection or analysis.","Matthew Berland,Ryan S. Baker,Paulo Blikstein",,2020
10.1038/s41586-020-2649-2,32939066,,Array programming with NumPy,"Array programming provides a powerful, compact and expressive syntax for accessing, manipulating and operating on data in vectors, matrices and higher-dimensional arrays. NumPy is the primary array programming library for the Python language. It has an essential role in research analysis pipelines in fields as diverse as physics, chemistry, astronomy, geoscience, biology, psychology, materials science, engineering, finance and economics. For example, in astronomy, NumPy was an important part of the software stack used in the discovery of gravitational waves1 and in the first imaging of a black hole2. Here we review how a few fundamental array concepts lead to a simple and powerful programming paradigm for organizing, exploring and analysing scientific data. NumPy is the foundation upon which the scientific Python ecosystem is constructed. It is so pervasive that several projects, targeting audiences with specialized needs, have developed their own NumPy-like interfaces and array objects. Owing to its central position in the ecosystem, NumPy increasingly acts as an interoperability layer between such array computation libraries and, together with its application programming interface (API), provides a flexible framework to support the next decade of scientific and industrial analysis.","Matthew Berland,Taylor Martin,Tom Benton,Carmen Petrick Smith,Don E. Davis",Nature,2020
,,,Difficulty and Complexity of Introductory Programming Problems,"Difficulty and complexity measures are used for problem sequencing, authoring, and detecting problematic problems. We review measures of observed difficulty and intrinsic complexity for introductory programming exercises and explore the relationship between these measures using correlation analysis and projections onto a plane. Even though the exercises are similar, only a few trends hold for all of them, stressing the necessity for validating previous results about complexity and difficulty measures that were based on data from a single exercise.",Matthew C. Jadud,,2019
10.1017/cbo9780511844744,,,Cognitive load theory,"Introduction Jan L. Plass, Roxana Moreno and Roland Brunken Part I. Theory: 1. Cognitive load theory: historical development and relation to other theories Roxana Moreno and Babette Park 2. Cognitive load theory: recent theoretical advances John Sweller 3. Schema acquisition and sources of cognitive load Slava Kalyuga 4. Individual differences and cognitive load theory Jan L. Plass and Slava Kalyuga Part II. Empirical Evidence: 5. Learning from worked-out examples and problem solving Alexander Renkl and Robert K. Atkinson 6. Instructional control of cognitive load in the design of complex learning environments Liesbeth Kester, Fred Paas and Jeroen J. G. van Merrienboer 7. Techniques that reduce extraneous cognitive load and manage intrinsic cognitive load during multimedia learning Richard E. Mayer and Roxana Moreno 8. Techniques that increase generative processing in multimedia learning: open questions for cognitive-load research Roxana Moreno and Richard E. Mayer Part III. Discussion: 9. Measuring cognitive load Roland Brunken, Tina Seufert and Fred Paas 10. From neo-behaviorism to neuroscience: perspectives on the origins and future contributions of cognitive load research Richard E. Clark and Vincent P. Clark 11. Cognitive load in learning with multiple representations Holger Horz and Wolfgang Schnotz 12. Current issues and open questions in cognitive load research Roland Brunken, Jan L. Plass and Roxana Moreno.","Matthew Hertz,Sarah Michele Ford",,2010
10.1109/seaa.2015.20,,,On the Coherence between Comments and Implementations in Source Code,"Source code comments provide useful information on the implementation of a software and on the intent behind design decisions and goals. Writing informative and useful comments is far from being a trivial task. Moreover, source code comments tend to remain mostly unchanged during maintenance activities. As a consequence, the information provided in the comment of a method and in its corresponding implementation may be not coherent with each other (i.e., The comment does not properly describe the implementation). In this paper, we present the results of a manual assessment on the coherence between comments and implementations of 3636 methods, gathered from 3 Java open source software systems (for one of these systems, we considered 2 different subsequent versions). Resulting evaluations have been collected in a dataset, we made publicly available on the web. The defined protocol used for the creation of this dataset is also described. This lets researchers evaluate the goodness of our dataset and eases its future possible extensions. Another contribution of our paper consists in investigating on a possible link between coherence and lexical similarity between source code and comments. Our preliminary outcomes suggest that this similarity is higher in case the comment of methods and their implementations are coherent. However, the obtained similarity values are generally low and are not much higher than those for non-coherent method implementations and comments.","Matthew J. Howard,Samir Gupta,Lori Pollock,K. Vijay-Shanker",,2015
10.1145/1151588.1151604,,,Why students drop out CS1 course,"This study focuses on CS minor students' decisions to drop out from the CS1 course. The high level of drop out percentage has been a problem at Helsinki University of Technology for many years. This course has yearly enrolment of 500-600 students and the drop out percentage has varied from 30-50 percents.Since we did not have clear picture of drop out reasons we conducted a qualitative interview research in which 18 dropouts from the CS1 course were interviewed. The reasons of drop out were categorized and, in addition, each case was investigated individually. This procedure enabled us to both list the reasons and to reveal the cumulative nature of drop out reasons.The results indicate that several reasons affect students' decision to quit the CS1 course. The most frequent reasons were the lack of time and the lack of motivation. However, both of these reasons were in turn affected by factors, such as the perceived difficulty of the course, general difficulties with time managing and planning studies, or the decision to prefer something else. Furthermore, low comfort level and plagiarism played a role in drop out. In addition, drop out reasons cumulated.This study shows that the complexity and large variety of factors involved in students' decision to drop the course. This indicates that simple actions to improve teaching or organization on a CS1 course to reduce drop out may be ineffective. Efficient intervention to the problem apparently requires a combination of many different actions that take into consideration the versatile nature of reasons involved in drop out.","Max Kesselbacher,Andreas Bollin",,2006
10.1016/j.chb.2014.09.012,,,Review on teaching and learning of computational thinking through programming,"Programming can help foster computational thinking (CT).Lack of programming-related studies for K-12 despite increased interest.Future studies can focus on intervention in regular classroom setting.Examine programming process with think-aloud protocol and on-screen recording.Explore activities supporting computational perspectives and practices. Programming is more than just coding, for, it exposes students to computational thinking which involves problem-solving using computer science concepts like abstraction and decomposition. Even for non-computing majors, computational thinking is applicable and useful in their daily lives. The three dimensions of computational thinking are computational concepts, computational practices and computational perspectives. In recent years, the availability of free and user-friendly programming languages has fuelled the interest of researchers and educators to explore how computational thinking can be introduced in K-12 contexts. Through an analysis of 27 available intervention studies, this paper presents the current trends of empirical research in the development of computational thinking through programming and suggests possible research and instructional implications. From the review, we propose that more K-12 intervention studies centering on computational practices and computational perspectives could be conducted in the regular classroom. To better examine these two dimensions, students could be asked to verbalize their thought process using think aloud protocol while programming and their on-screen programming activity could be captured and analyzed. Predetermined categories based on both past and recent programming studies could be used to guide the analysis of the qualitative data. As for the instructional implication, it is proposed that a constructionism-based problem-solving learning environment, with information processing, scaffolding and reflection activities, could be designed to foster computational practices and computational perspectives.","Max Kesselbacher,Andreas Bollin",Computers in Human Behavior,2014
10.1016/0004-3702(90)90093-f,,,Cognitive modeling and intelligent tutoring,"Abstract : The ACT theory of skill acquisition and its PUPS successor provide production-system models of the acquisition of skills such as LISP programming, geometry theorm-proving, and solving of algebraic equations. Knowledge begins in declarative form and is used by analogical processes to solve specific problems. Domain specific productions are compiled from the traces of these problem solutions. The model-tracing methodology has been developed as a means of displaying this cognitive theory in intelligent tutoring. Implementation of the model-tracing methodology involves developing a student model, a pedagogical module, and an interface. issues associated with the development of each of these components are discussed. Work on tutoring and work on skill acquisition have proven to symbiotic; that is, each has furthered the other's development. Keywords: Analogy; Artificial Intelligence; Cognitive Science; Computer-Assisted Instruction.","Max Kesselbacher,Kevin Wiltschnig,Andreas Bollin",Artificial Intelligence,1990
10.1109/msr.2013.6624052,,,"Automatically mining software-based, semantically-similar words from comment-code mappings","Many software development and maintenance tools involve matching between natural language words in different software artifacts (e.g., traceability) or between queries submitted by a user and software artifacts (e.g., code search). Because different people likely created the queries and various artifacts, the effectiveness of these tools is often improved by expanding queries and adding related words to textual artifact representations. Synonyms are particularly useful to overcome the mismatch in vocabularies, as well as other word relations that indicate semantic similarity. However, experience shows that many words are semantically similar in computer science situations, but not in typical natural language documents. In this paper, we present an automatic technique to mine semantically similar words, particularly in the software context. We leverage the role of leading comments for methods and programmer conventions in writing them. Our evaluation of our mined related comment-code word mappings that do not already occur in WordNet are indeed viewed as computer science, semantically-similar word pairs in high proportions.","Maxim Rabinovich,Mitchell Stern,Daniel Klein",,2013
10.1145/2723576.2723613,,,Topic facet modeling: semantic visual analytics for online discussion forums,"In this paper, we propose a novel Topic Facet Model (TFM), a probabilistic topic model that assumes all words in single sentence are generated from one topic facet. The model is applied to automatically extract forum posts semantics for uncovering the content latent structures. We further prototype a visual analytics interface to present online discussion forum semantics. We hypothesize that the semantic modeling through analytics on open online discussion forums can help users examine the post content by viewing the summarized topic facets. Our preliminary results demonstrated that TFM can be a promising method to extract topic specificity from conversational and relatively short texts in online programming discussion forums.","Melissa Bond,Nina Bergdahl,Jalal Nouri,Thashmee Karunaratne,Muhammad Afzaal,Mohammed Saqr",,2015
10.1109/wi.2004.15,,,A Web-Based Intelligent Tutoring System for Computer Programming,"Web Intelligence is a direction for scientific research that explores practical applications of Artificial Intelligence to the next generation of Web-empowered systems. In this paper, we present a Web-based intelligent tutoring system for computer programming. The decision making process conducted in our intelligent system is guided by Bayesian networks, which are a formal framework for uncertainty management in Artificial Intelligence based on probability theory. Whereas many tutoring systems are static HTML Web pages of a class textbook or lecture notes, our intelligent system can help a student navigate through the online course materials, recommend learning goals, and generate appropriate reading sequences.","Michael A. Sayette,Jeffrey F. Cohn,Joan M. Wertz,Michael A. Perrott,Dominic J. Parrott",,2004
10.1145/260750.260764,,,Asynchronous learning networks as a virtual classroom,,"Michael D. Hanus,Jesse Fox,Jesse Fox,Jesse Fox",Communications of The ACM,1997
10.3102/00346543070002181,,,Learning from Examples: Instructional Principles from the Worked Examples Research:,"Worked examples are instructional devices that provide an expert's problem solution for a learner to study. Worked-examples research is a cognitive-experimental program that has relevance to classroom instruction and the broader educational research community. A frame- work for organizing the findings of this research is proposed, leading to instructional design principles. For instance, one instructional design principle suggests that effective examples have highly integrated components. They employ multiple modalities in presentation and emphasize conceptual structure by labeling or segmenting. At the lesson level, effective instruction employs multiple examples for each conceptual problem type, varies example formats within problem type, and employs surface features to signal deep structure. Also, examples should be presented in close proximity to matched practice problems. More- over, learners can be encouraged through direct training or by the structure of the worked example to actively self:explain ...","Michael E. Tipping,Christopher M. Bishop",Review of Educational Research,2000
10.1145/1985793.1985796,,,AComment: mining annotations from comments and code to detect interrupt related concurrency bugs,"Concurrency bugs in an operating system (OS) are detrimental as they can cause the OS to fail and affect all applications running on top of the OS. Detecting OS concurrency bugs is challenging due to the complexity of the OS synchronization, particularly with the presence of the OS specific interrupt context. Existing dynamic concurrency bug detection techniques are designed for user level applications and cannot be applied to operating systems.   To detect OS concurrency bugs, we proposed a new type of annotations - interrupt related annotations - and generated 96,821 such annotations for the Linux kernel with little manual effort. These annotations have been used to automatically detect 9 real OS concurrency bugs (7 of which were previously unknown). Two of the key techniques that make the above contributions possible are: (1) using a hybrid approach to extract annotations from both code and comments written in natural language to achieve better coverage and accuracy in annotation extraction and bug detection; and (2) automatically propagating annotations to caller functions to improve annotating and bug detection. These two techniques are general and can be applied to non-OS code, code written in other programming languages such as Java, and for extracting other types of specifications.","Michael J. Sanger,Michael J. Sanger,Thomas J. Greenbowe",,2011
